method,cv_macro_f1,test_accuracy,test_macro_f1,test_weighted_f1,absolute_gain,relative_gain_percent,selected,best_params
baseline_logreg,0.7226372791067794,0.8333333333333334,0.7561150206606854,0.8203904760344984,0.0,0.0,False,"{""clf__C"": 1.0, ""clf__class_weight"": null, ""tfidf__max_features"": 5000, ""tfidf__ngram_range"": [1, 2]}"
tuned_tfidf_logreg,0.787111873700183,0.8565217391304348,0.7935740476702539,0.8492408148086836,0.03745902700956849,4.954144010634409,False,"{""clf__C"": 5.0, ""tfidf__max_features"": 5000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}"
balanced_logreg,0.7981534958278791,0.8478260869565217,0.8000107418816863,0.8455060859052896,0.04389572122100094,5.805429071180912,False,"{""clf__C"": 5.0, ""clf__class_weight"": ""balanced"", ""tfidf__max_features"": 5000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}"
linear_svc,0.8070074554412491,0.8623188405797102,0.8095961672159498,0.8577396899240344,0.05348114655526448,7.07314959945291,True,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""tfidf__max_features"": 5000, ""tfidf__min_df"": 2, ""tfidf__ngram_range"": [1, 1], ""tfidf__sublinear_tf"": true}"
